"","GD","PredictedGD"
"1",0,1
"2",-1,-1
"3",0,1
"4",2,1
"5",0,0
"6",-4,0
"7",-3,-1
"8",1,2
"9",-4,-1
"10",-1,0
"11",-1,0
"12",1,3
"13",-1,1
"14",4,0
"15",1,-1
"16",-1,-1
"17",-3,-3
"18",2,1
"19",-2,0
"20",0,-1
"21",1,2
"22",0,-1
"23",-2,-1
"24",-1,2
"25",6,1
"26",1,0
"27",0,-1
"28",1,2
"29",0,-1
"30",0,-1
"31",3,3
"32",1,0
"33",0,0
"34",-2,-1
"35",0,0
"36",0,2
"37",-1,1
"38",-3,0
"39",-1,2
"40",0,0
"41",4,0
"42",-2,-1
"43",2,-1
"44",2,0
"45",0,0
"46",3,1
"47",0,0
"48",-1,1
"49",1,2
"50",0,1
"51",0,0
"52",4,0
"53",0,0
"54",0,0
"55",-1,-1
"56",0,0
"57",2,0
"58",0,0
"59",0,-2
"60",1,-1
"61",0,0
"62",-2,2
"63",0,-1
"64",0,-1
"65",1,1
"66",0,2
"67",0,-2
"68",0,-1
"69",-1,-1
"70",1,0
"71",-1,1
"72",2,1
"73",-1,-1
"74",-1,-1
"75",4,1
"76",5,3
"77",1,0
"78",1,0
"79",-3,-1
"80",0,-1
"81",0,0
"82",0,0
"83",-3,-1
"84",1,1
"85",-1,0
"86",0,-1
"87",2,0
"88",-2,-1
"89",1,1
"90",1,1
"91",-1,-1
"92",0,1
"93",0,-1
"94",0,-1
"95",1,2
"96",3,1
"97",1,-1
"98",1,2
"99",0,2
"100",-1,-1
"101",-2,-1
"102",0,-1
"103",2,2
"104",3,0
"105",-1,-1
"106",1,0
"107",1,1
"108",-1,-1
"109",1,1
"110",-2,0
"111",4,1
"112",-1,-1
"113",-1,0
"114",1,1
"115",0,1
"116",0,0
"117",2,1
"118",-1,-1
"119",-3,-1
"120",-1,1
"121",1,0
"122",-1,-1
"123",1,2
"124",0,0
"125",2,0
"126",-2,-2
"127",2,1
"128",1,-1
"129",-1,2
"130",3,1
"131",1,2
"132",0,1
"133",0,0
"134",0,1
"135",-1,0
"136",-1,2
"137",1,1
"138",-2,-1
"139",2,1
"140",0,1
"141",1,-2
"142",0,0
"143",1,-1
"144",1,0
"145",-1,-1
"146",-1,0
"147",-4,1
"148",0,0
"149",1,-2
"150",-1,-1
"151",5,1
"152",1,1
"153",-1,-1
"154",1,1
"155",-2,0
"156",1,1
"157",-1,-2
"158",0,1
"159",0,2
"160",1,0
"161",2,2
"162",1,-1
"163",-1,0
"164",0,0
"165",2,2
"166",-2,-1
"167",1,-1
"168",0,0
"169",-2,0
"170",2,0
"171",0,1
"172",-1,1
"173",-1,0
"174",0,1
"175",-2,0
"176",3,1
"177",2,1
"178",-2,-2
"179",3,-1
"180",0,1
"181",-3,0
"182",-1,-1
"183",-1,1
"184",2,-1
"185",0,0
"186",-3,-1
"187",3,3
"188",-3,-1
"189",-4,-1
"190",0,0
